circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","13 Billion stars(karaoke_Ver)",,,,,1,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","いろはにほへと(karaoke_Ver)",,,,,2,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","虫籠のFairy(karaoke_Ver)",,,,,3,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","望郷(karaoke_Ver)",,,,,4,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","スキマツアーズ(karaoke_Ver)",,,,,5,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","夏が終わるまでに(karaoke_Ver)",,,,,6,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","さよならスプートニク(karaoke_Ver)",,,,,7,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","9,999,999 years(karaoke_Ver)",,,,,8,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","13 Billion stars(仮歌Ver)","",,,,9,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","いろはにほへと(仮歌Ver)","",,,,10,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","虫籠のFairy(仮歌Ver)","",,,,11,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","望郷(仮歌Ver)","",,,,12,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","スキマツアーズ(仮歌Ver)","",,,,13,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","夏が終わるまでに(仮歌Ver)","",,,,14,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","さよならスプートニク(仮歌Ver)","",,,,15,
いえろ～ぜぶら,"COMICMARKET 80 Omake CD2","9,999,999 years(仮歌Ver)","",,,,16,
