circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
かも,"東方華麗舞-Brilliant Dance of the East-","ティアオイエツォン-Type Grasper-","",,,,1,
かも,"東方華麗舞-Brilliant Dance of the East-","ネクロファンタジア-Spiral Sequence-","",,,,2,
かも,"東方華麗舞-Brilliant Dance of the East-","Love Affair","",,,,3,
かも,"東方華麗舞-Brilliant Dance of the East-","永夜の声","",,,,4,
かも,"東方華麗舞-Brilliant Dance of the East-","Legend of SAKURA","",,,,5,
かも,"東方華麗舞-Brilliant Dance of the East-","Break Heart","",,,,6,
かも,"東方華麗舞-Brilliant Dance of the East-","Deep Red Nightmare","",,,,7,
かも,"東方華麗舞-Brilliant Dance of the East-","TRicK The Baby","",,,,8,
かも,"東方華麗舞-Brilliant Dance of the East-","日本茶-Japanese Tea-","",,,,9,
かも,"東方華麗舞-Brilliant Dance of the East-","とあるビブロスの禁書目録","",,,,10,
かも,"東方華麗舞-Brilliant Dance of the East-","亡き王女の為のヴェルファーレ","",,,,11,
かも,"東方華麗舞-Brilliant Dance of the East-","コインいっこの休息時間","",,,,12,
