circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","ゲームボーイ版東方風神録の電源を入れる程度の能力","",,,,1,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","君恋し神々","",,,,2,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","稲田姫に叩かれるから","",,,,3,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","""とおりゃんせ!""","",,,,4,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","俺の右手がダークサイド","",,,,5,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","人々が恋した電子音","",,,,6,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","芥川工房の河童","",,,,7,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","青女月","",,,,8,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","神去月","",,,,9,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","魔法少女が見た日本の原風景","",,,,10,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","信仰はテクノき人間の為に","",,,,11,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","東方風神録全部ゲームボーイ・ラストステージ","",,,,12,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","東方風神録全部ゲームボーイ・ラストバトル","",,,,13,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","明日マヌの日、ケの昨日","",,,,14,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","ネイティブなフェイス","",,,,15,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","フトモモの神社","",,,,16,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","バグは時には音を鳴らす","",,,,17,
すたぢお・ぶるーふる,"東方風神録 全部ゲームボーイ","ゲームボーイ版東方風神録の電源を切る程度の能力","",,,,18,
