circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
はちみつれもん,Light Night Beat4,Urban Girl (Techno Pop),ヒスイリカ,,,Romantic Children:不思議の国のアリス,1,コミックマーケット88
はちみつれもん,Light Night Beat4,Riverside Moon(Trance),ゆーな,,,竹取飛翔　～ Lunatic Princess,2,コミックマーケット88
はちみつれもん,Light Night Beat4,thaumaturge(Trance),バル,,,ラストオカルティズム　～ 現し世の秘術師,3,コミックマーケット88
はちみつれもん,Light Night Beat4,White Joker(Psy-Trance),,,,二色蓮花蝶　～ Red and White,4,コミックマーケット88
はちみつれもん,Light Night Beat4,madder red(Progressive House),,,,フォールオブフォール　～ 秋めく滝,5,コミックマーケット88
はちみつれもん,Light Night Beat4,Quiet Sunset(Tech House),,,,レトロスペクティブ京都,6,コミックマーケット88
はちみつれもん,Light Night Beat4,radiance -LNB4 ver.-(Trance),,,,少女綺想曲　～ Dream Battle,7,コミックマーケット88
はちみつれもん,Light Night Beat4,刹那の風 -LNB4 ver.-(Hardstyle),バル,,,風神少女:レトロスペクティブ京都,8,コミックマーケット88
はちみつれもん,Light Night Beat4,神話創世 -LNB4 ver.-(Drum and Bass),ゆーな,,,大神神話伝,9,コミックマーケット88
はちみつれもん,Light Night Beat4,Japanese Flower(Chill out),,,,桜花之恋塚　～ Japanese Flower,10,コミックマーケット88
