circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ふぉれすとぴれお,T★GIRLS.03,ぼーだー おぶ おなかとせなか,月葉,さつき が てんこもり,さつき が てんこもり,幽雅に咲かせ、墨染の桜　～ Border of Life,1,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,パーティー・タイム・ファンタジア,めらみぽっぷ,ダニエルイトウ,ダニエルイトウ,ネクロファンタジア,2,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,left behind,Φ串Φ,RD-Sounds,RD-Sounds,月まで届け、不死の煙,3,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,夢見,めらみぽっぷ,きくお,きくお,亡き王女の為のセプテット,4,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,128倍キミに恋する程度の能力,kana,さつき が てんこもり,さつき が てんこもり,ラクトガール　～ 少女密室:死体旅行　～ Be of good cheer!,5,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,固有値を求めよ!,みぃしゃ,かめりあ,かめりあ,竹取飛翔　～ Lunatic Princess,6,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,ネコロジカル,ななひら:津軽りんご,干瓢碁,しお,死体旅行　～ Be of good cheer!,7,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,そばにいてもいいよ!,ななひら:kana,y0c1e,y0c1e,ティアオイエツォン(withered leaf):死体旅行　～ Be of good cheer!,8,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,放課後チャイム♪,みぃしゃ,ききぷぅ☆,コヨイ,死体旅行　～ Be of good cheer!,9,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,ニャウダージ-Nyaudade-,めらみぽっぷ,ふなこし,かざはな,ティアオイエツォン(withered leaf),10,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,Sweet honey trap,めらみぽっぷ,ききぷぅ☆,かざはな,少女さとり　～ 3rd eye,11,博麗神社例大祭9
ふぉれすとぴれお,T★GIRLS.03,恋上の2nd eye,まめこ,Hull,りでー,ラストリモート,12,博麗神社例大祭9
