circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","エネルギー冷麺","",,,,1,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","カッパイズム≠Nitorism","",,,,2,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","CR かえる☆大量発生↑(ただ今確変中)","",,,,3,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","☆Dream☆","",,,,4,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","はふりっ♪","",,,,5,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","O.T.オタクは彼氏なのか","",,,,6,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","恋魔法!ふぁいなりゅすぱぁく☆","",,,,7,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","CR チルノ物語 in カリブ↑","",,,,8,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","はふりっ♪","",,,,9,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","O.T.貴様はオタッキーなのか","",,,,10,
ほりっくさーびす,"エネルギー冷麺 てんこ盛り","恋魔法!あんあんあん弾幕☆","",,,,11,
