circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
まらしぃ,"アレンジのあれんじ<再>","ナイト・オブ・ナイツ",,,,,1,
まらしぃ,"アレンジのあれんじ<再>","Thank you 感謝!",,,,,2,
まらしぃ,"アレンジのあれんじ<再>","椛の退屈な日常",,,,,3,
まらしぃ,"アレンジのあれんじ<再>","人間が大好きなこわれた妖怪の唄",,,,,4,
まらしぃ,"アレンジのあれんじ<再>","おしゃれな藍さま",,,,,5,
まらしぃ,"アレンジのあれんじ<再>","No Life Queen",,,,,6,
まらしぃ,"アレンジのあれんじ<再>","U.N.オーエンは彼女なのか　～ 最終鬼畜妹フランドール・S",,,,,7,
まらしぃ,"アレンジのあれんじ<再>","Help me,ERINNNNNN!!",,,,,8,
まらしぃ,"アレンジのあれんじ<再>","シアワセウサギ(再)",,,,,9,
まらしぃ,"アレンジのあれんじ<再>","チルノのパーフェクトさんすう教室",,,,,10,
