circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
みかん箱,"東方幻想奇譚Ⅱ","冒険の幕開け　～ オープニング","",,,,1,
みかん箱,"東方幻想奇譚Ⅱ","懐かしき田舎町","",,,,2,
みかん箱,"東方幻想奇譚Ⅱ","妖猫戦闘曲　～ バトルテーマ1","",,,,3,
みかん箱,"東方幻想奇譚Ⅱ","未知なる大地　～ フィールドテーマ","",,,,4,
みかん箱,"東方幻想奇譚Ⅱ","郷愁の隠れ里","",,,,5,
みかん箱,"東方幻想奇譚Ⅱ","海底の神秘","",,,,6,
みかん箱,"東方幻想奇譚Ⅱ","プリンセス戦闘　～ ボスバトル","",,,,7,
みかん箱,"東方幻想奇譚Ⅱ","地底への洞穴","",,,,8,
みかん箱,"東方幻想奇譚Ⅱ","酒と祭の都","",,,,9,
みかん箱,"東方幻想奇譚Ⅱ","急げ!時を止めてでも!","",,,,10,
みかん箱,"東方幻想奇譚Ⅱ","STGとRPGの境界　～ ラストバトル","",,,,11,
