circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ゆめいろ企画,"Blue Vault of Heaven","風の循環　～ Wind Tour","",,,,1,
ゆめいろ企画,"Blue Vault of Heaven","手帖に刻まれた歌声","",,,,2,
ゆめいろ企画,"Blue Vault of Heaven","resolution 2009","",,,,3,
ゆめいろ企画,"Blue Vault of Heaven","天狗の手帖　～ Mysterious Note","",,,,4,
ゆめいろ企画,"Blue Vault of Heaven","東の国の眠らない夜","",,,,5,
ゆめいろ企画,"Blue Vault of Heaven","風神少女","",,,,6,
ゆめいろ企画,"Blue Vault of Heaven","Blast Wind Girl","",,,,7,
ゆめいろ企画,"Blue Vault of Heaven","勇往邁進","",,,,8,
ゆめいろ企画,"Blue Vault of Heaven","Chaos Theory","",,,,9,
ゆめいろ企画,"Blue Vault of Heaven","Mixture with String Quartet","",,,,10,
ゆめいろ企画,"Blue Vault of Heaven","少女、風の神と為りて～","",,,,11,
ゆめいろ企画,"Blue Vault of Heaven","東の国の眠らない夜","",,,,12,
ゆめいろ企画,"Blue Vault of Heaven","Mysterious Trance Mix","",,,,13,
ゆめいろ企画,"Blue Vault of Heaven","風華～カザハナ～(Trace Mix)","",,,,14,
ゆめいろ企画,"Blue Vault of Heaven","Sonic Boom","",,,,15,
ゆめいろ企画,"Blue Vault of Heaven","Alice in Jade","",,,,16,
