circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 00　～ 永夜抄","",,,,1,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 01　～ 幻視の夜","",,,,2,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 02　～ 蠢々秋月","",,,,3,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 03　～ 夜雀の歌声","",,,,4,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 04　～ もう歌しか聞こえない","",,,,5,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 05　～ 懐かしき東方の血","",,,,6,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 06　～ プレインエイジア","",,,,7,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 07　～ 永夜の報い","",,,,8,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 08　～ 少女綺想曲","",,,,9,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 09　～ 恋色マスタースパーク","",,,,10,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 10　～ シンデレラケージ","",,,,11,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 11　～ 狂気の瞳","",,,,12,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 12　～ ヴォヤージュ1969","",,,,13,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 13　～ 千年幻想郷","",,,,14,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 14　～ 竹取飛翔","",,,,15,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 15　～ エクステンドアッシュ","",,,,16,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-1","Eientewi set 16　～ 月まで届け、不死の煙","",,,,17,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","Eientewi set 09 B　～ お宇佐さまの素い幡","",,,,1,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","Eientewi set 12　～ ヴォヤージュ1970","",,,,2,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","Eientewi set 14　～ 月まで届け、不死の煙 - Another","",,,,3,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","Eientewi set 15　～ 月見草","",,,,4,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","Eientewi set 16　～ 幽玄の槭樹","",,,,5,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","Eientewi set 17　～ 東方妖怪小町","",,,,6,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","夜雀の歌声　～ Night Swing(葉月悠 Remix)","",,,,7,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","懐かしき東方の血(MYTK Remix)","",,,,8,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","プレインエイジア(yoshiki-narutaki Remix)","",,,,9,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","ヴォヤージュ1969(Jerico Remix)","",,,,10,
クロネコラウンジ,"House set of Imperishable Night　～ Eientewi set DISC-2","Akanistha set　～ 東方緋想天","",,,,11,
