circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 00　～ 欲深き霊魂","",,,,1,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 01　～ 死霊の夜桜","",,,,2,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 02　～ ゴーストリード","",,,,3,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 03　～ 妖怪寺へようこそ","",,,,4,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 04　～ 門前の妖怪小娘","",,,,5,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 05　～ 素敵な墓場で暮しましょ","",,,,6,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 06　～ リジッドパラダイス","",,,,7,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 07　～ デザイアドライブ","",,,,8,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 08　～ 古きユアンシェン","",,,,9,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 09　～ 夢殿大祀廟","",,,,10,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 10　～ 大神神話伝","",,,,11,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 11　～ 小さな欲望の星空","",,,,12,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 12　～ 聖徳伝説","",,,,13,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 13　～ 妖怪裏参道","",,,,14,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 14　～ 佐渡の二ッ岩","",,,,15,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 15　～ 神社の新しい風","",,,,16,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-1","Daishibyo set 16　～ デザイアドリーム","",,,,17,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-2","死霊の夜桜(MYTK remix)","",,,,1,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-2","リジッドパラダイス(Jerico remix)","",,,,2,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-2","古きユアンシェン(平茸 remix)","",,,,3,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-2","デザイアドライブ(ginkiha remix)","",,,,4,
クロネコラウンジ,"House set of Ten Desires　～ Daishibyo set DISC-2","Spring Haze(大神神話伝 dok remix)","",,,,5,
