circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
サリー,サドマゾヒズム 2nd Press,enn～淵～,茶太,NSY,shuriken,小さな欲望の星空,1,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,サド,茶太,ワニ,ワニ,佐渡の二ッ岩,2,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,新規テキストドキュメント,IZNA,NSY,IZNA,妖怪裏参道,3,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,霊魂ミソロジー,めらみぽっぷ,シュリンプ,めらみぽっぷ,大神神話伝,4,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,コウモリ,IZNA,ワニ,IZNA,夢殿大祀廟,5,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,L∞P,ランコ,ワニ,ワニ,デザイアドライブ,6,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,plaza Blue age,ランコ,NSY,shuriken,聖徳伝説　～ True Administrator,7,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,enn～淵～ Off vocal ver.,,NSY,,小さな欲望の星空,8,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,サド Off vocal ver.,,ワニ,,佐渡の二ッ岩,9,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,新規テキストドキュメント Off vocal ver.,,NSY,,妖怪裏参道,10,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,霊魂ミソロジー Off vocal ver.,,シュリンプ,,大神神話伝,11,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,コウモリ Off vocal ver.,,ワニ,,夢殿大祀廟,12,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,L∞P Off vocal ver.,,ワニ,,デザイアドライブ,13,博麗神社秋季例大祭
サリー,サドマゾヒズム 2nd Press,plaza Blue age Off vocal ver.,,NSY,,聖徳伝説　～ True Administrator,14,博麗神社秋季例大祭
