circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
ジェリコの法則,"East Side Reincarnation","Intro","",,,,1,
ジェリコの法則,"East Side Reincarnation","Subterranean Spiral","",,,,2,
ジェリコの法則,"East Side Reincarnation","Aquarium of Love","",,,,3,
ジェリコの法則,"East Side Reincarnation","Catadioptric","",,,,4,
ジェリコの法則,"East Side Reincarnation","Central Utopia","",,,,5,
ジェリコの法則,"East Side Reincarnation","Green Eyed Acidizz","",,,,6,
ジェリコの法則,"East Side Reincarnation","Retro Bullet","",,,,7,
ジェリコの法則,"East Side Reincarnation","Fancy Loops","",,,,8,
ジェリコの法則,"East Side Reincarnation","Sometimes nods","",,,,9,
ジェリコの法則,"East Side Reincarnation","Experience the Ensemble","",,,,10,
ジェリコの法則,"East Side Reincarnation","Necrophobia","",,,,11,
ジェリコの法則,"East Side Reincarnation","Magic Presentation","",,,,12,
ジェリコの法則,"East Side Reincarnation","Metamorphosis","",,,,13,
ジェリコの法則,"East Side Reincarnation","Outro　～ Vermilion sky","",,,,14,
