circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
スタジオネネム,ビブロフィリアの夜,Dream of the Rose,,まっきー,,最も澄みわたる空と海,1,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,in the copse,,とらっしゅ,,トロヤ群の密林,2,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,Fact or Fiction,,ハム,,華胥の夢,3,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,heaven・the・Alcohol!,,アレンジ,,魔術師メリー,4,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,不可思議はランチの後に～Afternoon Cafe～,,神谷怜,,衛星カフェテラス:上海紅茶館　～ Chinese Tea,5,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,BASIS,,森の子リスのミーコの大冒険,,月の妖鳥、化猫の幻,6,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,青が降る森,,まっきー,,大空魔術　～ Magical Astronomy,7,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,higher&brighter,,とらっしゅ,,G Free,8,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,doze away the afternoon,,とらっしゅ,,夢と現の境界,9,境界から視えた外界-廻-
スタジオネネム,ビブロフィリアの夜,"the milky way, dreamed",,まっきー,,ヒロシゲ36号　～ Neo Super-Express,10,境界から視えた外界-廻-
