circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
モヒカンサンドバッグ,"MILD","MILD少女","",,,,1,
モヒカンサンドバッグ,"MILD","「レティ」「ムッチャ」「ボイン」","",,,,2,
モヒカンサンドバッグ,"MILD","一日桃源郷","",,,,3,
モヒカンサンドバッグ,"MILD","誰かが月に狂気","",,,,4,
モヒカンサンドバッグ,"MILD","洗面台夜行","",,,,5,
モヒカンサンドバッグ,"MILD","Mt.Mokou","",,,,6,
モヒカンサンドバッグ,"MILD","ゴールデン古畑ガール","",,,,7,
モヒカンサンドバッグ,"MILD","二律背反 HOTARUMITI","",,,,8,
モヒカンサンドバッグ,"MILD","てぃあおいえつぉん?","",,,,9,
モヒカンサンドバッグ,"MILD","典雅に映えるか? 電子の桜","",,,,10,
モヒカンサンドバッグ,"MILD","射命丸と頭が愉快な仲間たち","",,,,11,
モヒカンサンドバッグ,"MILD","ケロちゃん可愛いよケロちゃん","",,,,12,
