circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
凋叶棕,望,encourager,めらみぽっぷ,RD-Sounds,RD-Sounds,少女が見た日本の原風景,1,博麗神社例大祭11
凋叶棕,望,博麗神社演舞奉納神事,,RD-Sounds,,少女綺想曲　～ Dream Battle,2,博麗神社例大祭11
凋叶棕,望,呪いのエメラルド,Φ串Φ:めらみぽっぷ,RD-Sounds,RD-Sounds,緑眼のジェラシー,3,博麗神社例大祭11
凋叶棕,望,ロンリー・モンスター・イン・ザ・デソレイション #0,,RD-Sounds,,ハルトマンの妖怪少女,4,博麗神社例大祭11
凋叶棕,望,Unprivileged Access,めらみぽっぷ,RD-Sounds,RD-Sounds,少女さとり　～ 3rd eye,5,博麗神社例大祭11
凋叶棕,望,その正しき言葉のもとに,めらみぽっぷ,RD-Sounds,RD-Sounds,六十年目の東方裁判　～ Fate of Sixty Years,6,博麗神社例大祭11
凋叶棕,望,サボタージュに魂をかけて,,RD-Sounds,,彼岸帰航　～ Riverside View,7,博麗神社例大祭11
凋叶棕,望,人恋し、秋恋し,野宮あゆみ,RD-Sounds,RD-Sounds,人恋し神様　～ Romantic Fall,8,博麗神社例大祭11
凋叶棕,望,弦奏交響曲「人形裁判」,,RD-Sounds,,人形裁判　～ 人の形弄びし少女,9,博麗神社例大祭11
凋叶棕,望,スターブレイカー,めらみぽっぷ,RD-Sounds,RD-Sounds,恋色マスタースパーク,10,博麗神社例大祭11
凋叶棕,望,あの子はなぞのスピードスター,,RD-Sounds,,オリエンタルダークフライト,11,博麗神社例大祭11
凋叶棕,望,泡沫のストーリーテラー,,RD-Sounds,,阿礼の子供,12,博麗神社例大祭11
凋叶棕,望,童遊,めらみぽっぷ,RD-Sounds,RD-Sounds,童祭 ～ Innocent Treasures,13,博麗神社例大祭11
