circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
剥色徒領,Look At Me,水面,,円形リトポン,,緑のサナトリウム,1,博麗神社例大祭12
剥色徒領,Look At Me,why do you need?,,円形リトポン,,魔術師メリー,2,博麗神社例大祭12
剥色徒領,Look At Me,look at me,,円形リトポン,,魔術師メリー,3,博麗神社例大祭12
剥色徒領,Look At Me,想い悟り,,円形リトポン,,大空魔術　～ Magical Astronomy,4,博麗神社例大祭12
剥色徒領,Look At Me,その手を掴んで,,円形リトポン,,夜のデンデラ野を逝く,5,博麗神社例大祭12
剥色徒領,Look At Me,跳躍,,円形リトポン,,ネクロファンタジア,6,博麗神社例大祭12
剥色徒領,Look At Me,blazing,,円形リトポン,,恋色マスタースパーク,7,博麗神社例大祭12
剥色徒領,Look At Me,Asteres aplanis,,円形リトポン,,ヴォヤージュ1969:ヴォヤージュ1970,8,博麗神社例大祭12
剥色徒領,Look At Me,メイセキム,,円形リトポン,,二つの世界,9,博麗神社例大祭12
剥色徒領,Look At Me,夢の終わりに,,円形リトポン,,日本中の不思議を集めて,10,博麗神社例大祭12
