circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
和弘法,"東方1人○役2 風神録アレンジ曲集","人恋し神様　～ Romantic Fall","",,,,1,
和弘法,"東方1人○役2 風神録アレンジ曲集","稲田神様は眠られたから","",,,,2,
和弘法,"東方1人○役2 風神録アレンジ曲集","厄神様の通り道　～ Dark Road","",,,,3,
和弘法,"東方1人○役2 風神録アレンジ曲集","神々が恋した幻想郷","",,,,4,
和弘法,"東方1人○役2 風神録アレンジ曲集","芥川龍之介の河童　～ Candid Friend","",,,,5,
和弘法,"東方1人○役2 風神録アレンジ曲集","フォールオブフォール　～ 秋めく滝","",,,,6,
和弘法,"東方1人○役2 風神録アレンジ曲集","山守天狗","",,,,7,
和弘法,"東方1人○役2 風神録アレンジ曲集","スナックさなえ","",,,,8,
和弘法,"東方1人○役2 風神録アレンジ曲集","神さびた古戦場　～ Suwa Foughten Field","",,,,9,
和弘法,"東方1人○役2 風神録アレンジ曲集","山守天狗(offvocal)",,,,,10,
和弘法,"東方1人○役2 風神録アレンジ曲集","スナックさなえ(offvocal)",,,,,11,
