circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
宵闇市場,"TWILIGHT COMPLEX Vol.1","交響曲第7番「宵闇」","",,,,1,
宵闇市場,"TWILIGHT COMPLEX Vol.1","Ruminosity","",,,,2,
宵闇市場,"TWILIGHT COMPLEX Vol.1","新月の夜の勇者","",,,,3,
宵闇市場,"TWILIGHT COMPLEX Vol.1","もしルーミアちゃんが4面くらいで出てきたら","",,,,4,
宵闇市場,"TWILIGHT COMPLEX Vol.1","dask","",,,,5,
宵闇市場,"TWILIGHT COMPLEX Vol.1","Rumie～山からの海鮮丼～","",,,,6,
宵闇市場,"TWILIGHT COMPLEX Vol.1","Twilight immature","",,,,7,
宵闇市場,"TWILIGHT COMPLEX Vol.1","MoonLightGirl","",,,,8,
宵闇市場,"TWILIGHT COMPLEX Vol.1","エキストラ・エクストラ","",,,,9,
宵闇市場,"TWILIGHT COMPLEX Vol.1","Close to you","",,,,10,
宵闇市場,"TWILIGHT COMPLEX Vol.1","Bonus Track","",,,,11,
