circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
平川corp,"トウホウジヘン","大事の前の小事","",,,,1,
平川corp,"トウホウジヘン","星屑のバレット","",,,,2,
平川corp,"トウホウジヘン","氷流","",,,,3,
平川corp,"トウホウジヘン","⑨METAL","",,,,4,
平川corp,"トウホウジヘン","紅魔館ツアー","",,,,5,
平川corp,"トウホウジヘン","シャンデリア","",,,,6,
平川corp,"トウホウジヘン","ラクト・ガール　～ Certificate of Hexen Sorcery","",,,,7,
平川corp,"トウホウジヘン","彷徨う傀儡","",,,,8,
平川corp,"トウホウジヘン","紅魔館ツアー　～ リードピアノあってこの有様Ver.","",,,,9,
平川corp,"トウホウジヘン","後語り","",,,,10,
平川corp,"トウホウジヘン","彷徨う傀儡　～ 太郎ver","",,,,11,
