circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
彩音～xi-on～,"LOTUS-ロータス-","青空の影","",,,,1,
彩音～xi-on～,"LOTUS-ロータス-","時代親父とハイカラ少女","",,,,2,
彩音～xi-on～,"LOTUS-ロータス-","虎柄の毘沙門天","",,,,3,
彩音～xi-on～,"LOTUS-ロータス-","幽霊客船の時空を越えた旅","",,,,4,
彩音～xi-on～,"LOTUS-ロータス-","春の湊に","",,,,5,
彩音～xi-on～,"LOTUS-ロータス-","万年置き傘にご注意を","",,,,6,
彩音～xi-on～,"LOTUS-ロータス-","夜空のユーフォーロマンス","",,,,7,
彩音～xi-on～,"LOTUS-ロータス-","平安のエイリアン","",,,,8,
彩音～xi-on～,"LOTUS-ロータス-","感情の摩天楼　～ Cosmic Mind","",,,,9,
彩音～xi-on～,"LOTUS-ロータス-","妖怪寺","",,,,10,
