circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
斬-ZANN-,"Strings of Phantasm","永夜抄","",,,,1,
斬-ZANN-,"Strings of Phantasm","幻視の夜","",,,,2,
斬-ZANN-,"Strings of Phantasm","ティアオイエツォン","",,,,3,
斬-ZANN-,"Strings of Phantasm","恋色マスタースパーク","",,,,4,
斬-ZANN-,"Strings of Phantasm","フォールオブフォール","",,,,5,
斬-ZANN-,"Strings of Phantasm","少女綺想曲","",,,,6,
斬-ZANN-,"Strings of Phantasm","U.N.オーエンは彼女なのか?","",,,,7,
斬-ZANN-,"Strings of Phantasm","亡き王女の為のセプテット","",,,,8,
斬-ZANN-,"Strings of Phantasm","アルティメットトゥルース","",,,,9,
斬-ZANN-,"Strings of Phantasm","少女幻葬","",,,,10,
