circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
星屑コンテナ,"EtudeⅡ","Oriental Dorn Fright","",,,,1,
星屑コンテナ,"EtudeⅡ","Daylight","",,,,2,
星屑コンテナ,"EtudeⅡ","My Territory","",,,,3,
星屑コンテナ,"EtudeⅡ","Radiant(Original Mix)","",,,,4,
星屑コンテナ,"EtudeⅡ","Sunrise Falls Down(Original Mix)","",,,,5,
星屑コンテナ,"EtudeⅡ","Snowdome(Original Mix)","",,,,6,
星屑コンテナ,"EtudeⅡ","My Etude(Original Mix)","",,,,7,
星屑コンテナ,"EtudeⅡ","Grinium","",,,,8,
星屑コンテナ,"EtudeⅡ","A tale of memories.","",,,,9,
星屑コンテナ,"EtudeⅡ","イザヨイザクラ","",,,,10,
