circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
春待月,"東方地霊祭-FESTA of the earth-","Overture～FESTA of the Earth～","",,,,1,
春待月,"東方地霊祭-FESTA of the earth-","黄昏シンドローム","",,,,2,
春待月,"東方地霊祭-FESTA of the earth-","Lost place","",,,,3,
春待月,"東方地霊祭-FESTA of the earth-","Intermezzo～待ち人来たらず～","",,,,4,
春待月,"東方地霊祭-FESTA of the earth-","狂愛ウォータームーン","",,,,5,
春待月,"東方地霊祭-FESTA of the earth-","Intermezzo～祭りの参道～","",,,,6,
春待月,"東方地霊祭-FESTA of the earth-","猛き篝火、龍の如く","",,,,7,
春待月,"東方地霊祭-FESTA of the earth-","Intermezzo～吟遊詩人の独白～","",,,,8,
春待月,"東方地霊祭-FESTA of the earth-","孤独な魔女のファランドール","",,,,9,
春待月,"東方地霊祭-FESTA of the earth-","Intermezzo～宵闇にハミング～","",,,,10,
春待月,"東方地霊祭-FESTA of the earth-","Ghoul's Party!!","",,,,11,
春待月,"東方地霊祭-FESTA of the earth-","Intermezzo～宴もたけなわ～","",,,,12,
春待月,"東方地霊祭-FESTA of the earth-","永遠絶対太陽信仰","",,,,13,
春待月,"東方地霊祭-FESTA of the earth-","Star-mine-sweeper","",,,,14,
春待月,"東方地霊祭-FESTA of the earth-","砂糖菓子とメレンゲの憂鬱","",,,,15,
春待月,"東方地霊祭-FESTA of the earth-","Intermezzo～祭りのあと～","",,,,16,
春待月,"東方地霊祭-FESTA of the earth-","Finale～夜明け来たりて～","",,,,17,
