circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
月面着陸ファージ,幻想狂走譜 Vol.7,溢れる欲望の果てに,,mocchie,,デザイアドライブ,1,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,Ghosty Cherry Blossoms,,mocchie,,死霊の夜桜,2,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,Flight in the Dark Night,,mocchie,,オリエンタルダークフライト,3,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,羯諦寺へようこそ,,mocchie,,妖怪寺へようこそ,4,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,Happy Life in the Graveyard,,mocchie,,素敵な墓場で暮しましょ,5,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,Belka and Strelka,,mocchie,,スプートニク幻夜,6,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,やれやれ大祀廟,,mocchie,,夢殿大祀廟,7,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,This is My Trump!,,mocchie,,東方妖怪小町,8,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,イケナイ遊び☆,,mocchie,,禁じざるをえない遊戯,9,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,Crusaders for Magic,,mocchie,,魔法少女十字軍,10,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,マミったああああああああああ,,mocchie,,佐渡の二ッ岩,11,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,ドヤ顔神話伝,,mocchie,,大神神話伝,12,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,Oozing Terror,,mocchie,,アンティークテラー,13,博麗神社例大祭9
月面着陸ファージ,幻想狂走譜 Vol.7,たわむれはおわりじゃ!,,mocchie,,聖徳伝説　～ True Administrator,14,博麗神社例大祭9
