circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
来夢緑,"花飾りの帽子 DISC-1","春色小径　～ Colorful Path",,,,,1,
来夢緑,"花飾りの帽子 DISC-1","オリエンタルダークフライト",,,,,2,
来夢緑,"花飾りの帽子 DISC-1","今昔幻想郷　～ Flower Land",,,,,3,
来夢緑,"花飾りの帽子 DISC-1","お宇佐さまの素い幡",,,,,4,
来夢緑,"花飾りの帽子 DISC-1","六十年目の東方裁判　～ Fate of Sixty",,,,,5,
来夢緑,"花飾りの帽子 DISC-2","少女綺想曲　～ Capriccio",,,,,1,
来夢緑,"花飾りの帽子 DISC-2","幻想郷　～ Lotus Land Story",,,,,2,
来夢緑,"花飾りの帽子 DISC-2","星の器　～ Casket of Star",,,,,3,
来夢緑,"花飾りの帽子 DISC-2","禁じざるをえない遊戯",,,,,4,
来夢緑,"花飾りの帽子 DISC-2","Magic Shop of Raspberry",,,,,5,
