circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
東部開拓地,"アルガママ","【Intro】湖上はあたいたちのもの!　～ ルーネイトエルフ","",,,,1,
東部開拓地,"アルガママ","是非曲直庁を抜け出せば　～ 六十年目の東方裁判","",,,,2,
東部開拓地,"アルガママ","妬み絶えず深き縦穴　～ 緑眼のジェラシー","",,,,3,
東部開拓地,"アルガママ","【Interlude】しあわせ融合施設　～ 業火マントル","",,,,4,
東部開拓地,"アルガママ","十王堂の真実　～ 夜のデンデラ野を逝く","",,,,5,
東部開拓地,"アルガママ","花より強く咲き誇る華　～ 花は幻想のままに","",,,,6,
東部開拓地,"アルガママ","繰り返す夜の過ごし方　～ エクステンドアッシュ","",,,,7,
東部開拓地,"アルガママ","ただ在るが儘に瞬間を切り裂いて　～ 東方文花帖","",,,,8,
東部開拓地,"アルガママ","【EX01】ヤマメジングル　～ 封じられた妖怪","",,,,9,
東部開拓地,"アルガママ","【EX02】パルスィジングル　～ 渡る者の途絶えた橋","",,,,10,
東部開拓地,"アルガママ","【EX03】勇儀ジングル　～ 華のさかづき大江山","",,,,11,
東部開拓地,"アルガママ","【EX04】さとりジングル　～ 少女さとり","",,,,12,
東部開拓地,"アルガママ","【EX05】お燐ジングル　～ 死体旅行","",,,,13,
東部開拓地,"アルガママ","【EX06】お空ジングル　～ 霊知の太陽信仰","",,,,14,
東部開拓地,"アルガママ","【EX07】井の中の童は大海をも望まず　～ Dancing Will-O-Wisp","",,,,15,
東部開拓地,"アルガママ","【PH】閉ざした心、明ける空　～ ハルトマンの妖怪少女","",,,,16,
