circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","天狗の手帖","",,,,1,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","風の循環","",,,,2,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","妖怪の山","",,,,3,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","U.N.オーエンは彼女なのか?","",,,,4,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","稲田姫様に叱られるから","",,,,5,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","封じられた妖怪","",,,,6,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","運命のダークサイド","",,,,7,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","緑眼のジェラシー","",,,,8,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","さくらさくら","",,,,9,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","遠野幻想物語","",,,,10,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","ブクレシュティの人形師","",,,,11,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","永夜抄","",,,,12,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","上海紅茶館　～ 初月の宴","",,,,13,
武蔵野電機製作所,"礦石音幻紀行3　～ Note of the Lotus land","死後さばきにあう","",,,,14,
