circle,album,title,vocalist,arranger,lyricist,original_songs,track_number,event
狐の工作室,東方幻想界 -地霊殿の音-,目覚めよ地霊たち,,水橋ゆっきー,,地霊達の起床,1,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,地底のいりぐち,,水橋ゆっきー,,暗闇の風穴,2,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,憂いに揺れるは橋姫の瞳,,水橋ゆっきー,,緑眼のジェラシー,3,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,おいでませ地獄街道,,水橋ゆっきー,,旧地獄街道を行く,4,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,恋獄の瞳,,水橋ゆっきー,,少女さとり　～ 3rd eye,5,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,廃獄の詩,,水橋ゆっきー,,廃獄ララバイ,6,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,灼熱の霊戦獄,,水橋ゆっきー,,霊知の太陽信仰　～ Nuclear Fusion,7,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,喪する此処路,,水橋ゆっきー,,ラストリモート,8,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,箱庭の妖怪少女,,水橋ゆっきー,,ハルトマンの妖怪少女,9,博麗神社例大祭11
狐の工作室,東方幻想界 -地霊殿の音-,地霊の夜明け,,水橋ゆっきー,,エネルギー黎明 ～ Future Dream...,10,博麗神社例大祭11
