circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
白いしましまうさぎ,東方和楽・通,開宴　～ 待望百年,,しましま,,魔法少女達の百年祭,1,コミックマーケット75
白いしましまうさぎ,東方和楽・通,恋色散々な名拍子,,うさぎいぬ,,恋色マスタースパーク,2,コミックマーケット75
白いしましまうさぎ,東方和楽・通,黄泉比良坂丑の刻,,しましま,,渡る者の途絶えた橋,3,コミックマーケット75
白いしましまうさぎ,東方和楽・通,明日ハレの日、さんさの日,,しましま,,明日ハレの日、ケの昨日,4,コミックマーケット75
白いしましまうさぎ,東方和楽・通,月をも焦がせ不死の炎、燃ゆるは憤怒の狼煙,,うさぎいぬ,,月まで届け、不死の煙,5,コミックマーケット75
白いしましまうさぎ,東方和楽・通,丸九屋,,白蘭,,おてんば恋娘,6,コミックマーケット75
白いしましまうさぎ,東方和楽・通,雪,,白蘭,,クリスタライズシルバー,7,コミックマーケット75
白いしましまうさぎ,東方和楽・通,秋冬乱舞,,神居,,稲田姫様に叱られるから:クリスタライズシルバー,8,コミックマーケット75
白いしましまうさぎ,東方和楽・通,妖々遊打,,うさぎいぬ,,無何有の郷　～ Deep Mountain:ティアオイエツォン(withered leaf):広有射怪鳥事　～ Till When?,9,コミックマーケット75
白いしましまうさぎ,東方和楽・通,～夜へ～,,うさぎいぬ,,妖魔夜行,10,コミックマーケット75
白いしましまうさぎ,東方和楽・通,人なき山野の祭り囃子,,しましま,,遠野幻想物語,11,コミックマーケット75
白いしましまうさぎ,東方和楽・通,東方妖々夢,,しましま,,東方妖々夢　～ Ancient Temple,12,コミックマーケット75
