circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
秋の空,星影の天の原,静寂の月,三澤秋,Morrigan,三澤秋,月の妖鳥、化猫の幻,1,コミックマーケット77
秋の空,星影の天の原,霧の香勾引ふ,三澤秋,Masayoshi Minoshima,三澤秋,妖々跋扈　～ Who done it!,2,コミックマーケット77
秋の空,星影の天の原,Eternal Rite,三澤秋,Tsukasa,三澤秋,幽雅に咲かせ、墨染の桜　～ Border of Life,3,コミックマーケット77
秋の空,星影の天の原,Fallen Heaven,三澤秋,Tsukasa,三澤秋,神さびた古戦場　～ Suwa Foughten Field,4,コミックマーケット77
秋の空,星影の天の原,宵風唄,三澤秋,REDALiCE,三澤秋,信仰は儚き人間の為に,5,コミックマーケット77
秋の空,星影の天の原,Forget-me-not,三澤秋,REDALiCE,三澤秋,天空の花の都,6,コミックマーケット77
秋の空,星影の天の原,光の都,三澤秋,Tsukasa,三澤秋,千年幻想郷　～ History of the Moon,7,コミックマーケット77
秋の空,星影の天の原,オニのようにかわいく,三澤秋,D.watt,七条レタス,東方萃夢想:Demystify Feast:少女綺想曲　～ Dream Battle,8,コミックマーケット77
秋の空,星影の天の原,Shinto Shrine,三澤秋,Masayoshi Minoshima,三澤秋,神社,9,コミックマーケット77
秋の空,星影の天の原,Nostalgia,三澤秋,Tsukasa,三澤秋,ラストリモート,10,コミックマーケット77
秋の空,星影の天の原,"Voile, the Magic Library",三澤秋,Masayoshi Minoshima,Haruka,ヴワル魔法図書館,11,コミックマーケット77
秋の空,星影の天の原,Blaze of Colors,三澤秋,Tsukasa,三澤秋,東方妖恋談,12,コミックマーケット77
秋の空,星影の天の原,Starlight Vision(09 Rearrangement),三澤秋,Tsukasa,三澤秋,六十年目の東方裁判　～ Fate of Sixty Years,13,コミックマーケット77
