circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
荒御霊,一霊四魂,雨を請う民の真に求めるもの,,和泉幸奇,,神は恵みの雨を降らす　～ Sylphid Dream,1,コミックマーケット73
荒御霊,一霊四魂,我々が愛した都も今は無く,,和泉幸奇,,神々が恋した幻想郷,2,コミックマーケット73
荒御霊,一霊四魂,災厄の晴れた後に,,和泉幸奇,,厄神様の通り道　～ Dark Road,3,コミックマーケット73
荒御霊,一霊四魂,龍神は滝をすべる,,和泉幸奇,,フォールオブフォール　～ 秋めく滝,4,コミックマーケット73
荒御霊,一霊四魂,すべて人々の忘れた場所で,,和泉幸奇,,人恋し神様　～ Romantic Fall,5,コミックマーケット73
荒御霊,一霊四魂,宇気槽の儀,,和泉幸奇,,麓の神社,6,コミックマーケット73
荒御霊,一霊四魂,現人神の秘術,,和泉幸奇,,少女が見た日本の原風景,7,コミックマーケット73
荒御霊,一霊四魂,どうかKappaと発音してください。,,和泉幸奇,,芥川龍之介の河童　～ Candid Friend,8,コミックマーケット73
荒御霊,一霊四魂,荒神の宴なるかな,,和泉幸奇,,神さびた古戦場　～ Suwa Foughten Field,9,コミックマーケット73
荒御霊,一霊四魂,遡ってまた神話の時代,,和泉幸奇,,明日ハレの日、ケの昨日,10,コミックマーケット73
荒御霊,一霊四魂,nativeHAPPYCHAINSAWfaith,,和泉幸奇,,ネイティブフェイス,11,コミックマーケット73
