circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","ファンファーレ","",,,,1,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","妖怪たちの一休み","",,,,2,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","月姫のメヌエット","",,,,3,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","剣に生きる[第一章 白玉楼の庭師]","",,,,4,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","迷子の半身","",,,,5,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","おてんば猫の冒険[第二章 おてんば猫の冒険]","",,,,6,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","そして誰もいなくなった?","",,,,7,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","ぱしりですか?[第三章 門番メイリン]","",,,,8,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","秋姉妹の旅[第四章 実りの秋姉妹]","",,,,9,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","豊穣の踊り","",,,,10,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","失意の二人","",,,,11,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","スキマ商事のカジノ","",,,,12,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","フィーバー!","",,,,13,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","蟲王の棲家","",,,,14,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","伝承の村[第五章 屠られし者たち]","",,,,15,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","厄神の塔","",,,,16,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","冥姫の祈りは唄となりて","",,,,17,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","新しき世界に発つ","",,,,18,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","少女達の戦い","",,,,19,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","最凶のアタイ","",,,,20,
趣味工房にんじんわいん,"東方クエスト2 完全版 Do you like Famicom?","Stage01-1 Luciola Girl by ROCK GIRL3 Dr.えーりんの欲望","",,,,21,
