circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
音召缶,東方幻夢奏 The First Chapter,Entrance to the Floor,,天音,,星の器　～ Casket of Star,1,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,bloodthirsty,こばきょん,天音,,紅楼　～ Eastern Dream...,2,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,仰空 - Mercury mix,,Longfi,,仰空,3,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,Necro Fantasia(Beachdream Remix size M),,Thantos,,ネクロファンタジア,4,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,マイクロスペースオペラ,,和泉幸奇,,妖怪宇宙旅行,5,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,Hakurei - Velocity of the Donk mix,,Longfi,,博麗　～ Eastern Wind,6,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,古都が没する日,,TAM,,レトロスペクティブ京都,7,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,流星少女～little shooting star～(SP Nova Remix),たま,Coro,,恋色マスタースパーク,8,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,Declare of Exception,,Kissing the Mirror,,幻視の夜　～ Ghostly Eyes,9,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,腋コア2009(Vocal Edition),ちびこ,天音,,少女綺想曲　～ Dream Battle,10,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,Wizard Melancholy,,MUZIK SERVANT,,魔法使いの憂鬱,11,博麗神社例大祭7
音召缶,東方幻夢奏 The First Chapter,Spark'n(NEW MIX),UTA,MUZIK SERVANT,,恋色マスタースパーク,12,博麗神社例大祭7
