circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,Kissing the Scarlet,櫻井アンナ,六弦A助,櫻井アンナ,U.N.オーエンは彼女なのか？,1,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,Whose Eye Is This Anyway?,みぃ,GCHM,Jell,狂気の瞳　～ Invisible Full Moon,2,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,名も無き意識,Souwer,琉姫アルナ,水川月依,ハルトマンの妖怪少女,3,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,GURA・GURA,ランコ,コンプ,コンプ,有頂天変　～ Wonderful Heaven,4,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,Brave is Forever,龍5150,龍5150,龍5150,御伽の国の鬼が島　～ Missing Power:東方萃夢想,5,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,漂空リヴァーサル,Lyn-A,JeetSingh,朧彦,万年置き傘にご注意を,6,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,月翳-ツキカゲ-,緑坂亜綾,大久保潤,緑坂亜綾,平安のエイリアン,7,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,Burnin'Blood,あき(はにーぽけっと),ELEMENTAS,あき(はにーぽけっと),月まで届け、不死の煙,8,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,Kissing the Scarlet(OPsize),櫻井アンナ,六弦A助,櫻井アンナ,U.N.オーエンは彼女なのか？,9,博麗神社例大祭9
領域ZERO,東方空宴歌-KURENAI- 東方スカイアリーナ・バトルソングコレクション,Whose Eye Is This Anyway?(EDsize),みぃ,GCHM,Jell,狂気の瞳　～ Invisible Full Moon,10,博麗神社例大祭9
