circle,album,title,vocalists,arrangers,lyricists,original_songs,track_number,event
魂音泉,World's End Garden,The Girl Forgotten By Time,,Coro,,オリジナル,1,コミックマーケット77
魂音泉,World's End Garden,ないものねだり～Ask for the Moon～,たまちゃん,Coro,Coro,人形裁判　～ 人の形弄びし少女,2,コミックマーケット77
魂音泉,World's End Garden,南柯之夢 feat.雨天決行,雨天決行,Coro,雨天決行,U.N.オーエンは彼女なのか？,3,コミックマーケット77
魂音泉,World's End Garden,Bad Apple? feat.Romonosov?:p,Romonosov?：p,Coro,Romonosov?：p,Bad Apple!!,4,コミックマーケット77
魂音泉,World's End Garden,歳月,たま,Coro,笥箪,砕月,5,コミックマーケット77
魂音泉,World's End Garden,さくらさくら feat.らっぷびと,らっぷびと,Coro,らっぷびと,さくらさくら　～ Japanize Dream...,6,コミックマーケット77
魂音泉,World's End Garden,恋する幻想郷 feat.ill.bell,ill.bell,Coro,ill.bell,神々が恋した幻想郷,7,コミックマーケット77
魂音泉,World's End Garden,亡き貴女の為のセレナーデ～Forget-me-not～,たまちゃん,Coro,笥箪,亡き王女の為のセプテット,8,コミックマーケット77
魂音泉,World's End Garden,World's End Garden,,Coro,,オリジナル,9,コミックマーケット77
魂音泉,World's End Garden,さくらさくら feat.らっぷびと(off vocal),,Coro,,さくらさくら　～ Japanize Dream...,10,コミックマーケット77
魂音泉,World's End Garden,恋する幻想郷 feat.ill.bell(off vocal),,Coro,,神々が恋した幻想郷,11,コミックマーケット77
魂音泉,World's End Garden,そんなゆめをみたの～lonely dreaming girl～(live edit),たまちゃん,Coro,Coro,おてんば恋娘,12,コミックマーケット77
